#ID DescID M200b Vmax Vrms R200b Rs Np X Y Z VX VY VZ Parent_ID
74867 -1 1.1963e+13 644.579 0 532.612 0 300 27.465418 95.402000 105.990379 63.940510 -47.808323 -63.860695 -1
74876 -1 1.1883e+13 645.375 0 531.426 0 298 185.834717 208.040024 97.391434 -467.824463 88.463379 -199.643265 -1
74886 -1 1.0926e+13 617.327 0 516.759 0 274 254.620575 122.484833 45.745693 -113.348160 66.645981 -237.727448 -1
74891 -1 1.3558e+13 672.720 0 555.304 0 340 65.209053 177.744949 33.185436 -2.148882 29.429310 34.351120 -1
74904 -1 9.4508e+12 602.055 0 492.365 0 237 122.438942 113.577873 88.666794 -246.991165 -129.679642 -19.507524 -1
74913 -1 1.5113e+13 685.728 0 575.772 0 379 44.080883 182.903152 171.738998 -438.531647 237.015091 -85.296227 -1
74916 -1 1.6509e+13 782.641 0 592.977 0 414 14.724700 105.694855 46.562023 -141.791855 -44.304470 -51.509586 -1
74918 -1 1.0488e+13 610.565 0 509.749 0 263 41.416962 183.925766 169.080978 240.554169 130.939163 448.265717 -1
74937 -1 1.3718e+13 653.228 0 557.473 0 344 221.582886 250.149734 144.042892 -629.397583 380.374939 -315.847412 -1
74953 -1 1.4236e+13 699.044 0 564.409 0 357 242.040451 156.340683 22.749393 -168.936798 370.461365 -0.239968 -1
74966 -1 1.0288e+13 610.751 0 506.498 0 258 63.009007 261.211029 62.708408 216.114044 -339.407166 -219.158493 -1
74984 -1 1.6708e+13 770.883 0 595.354 0 419 108.651627 243.729263 167.744827 229.807281 25.929298 60.257469 -1
74986 -1 1.4116e+13 672.442 0 562.823 0 354 162.650894 136.943634 102.113571 -130.111511 10.558393 -164.455322 -1
74995 -1 1.4037e+13 719.262 0 561.761 0 352 80.019310 92.959015 161.688660 291.521881 167.160797 -181.749512 -1
75000 -1 1.4515e+13 687.094 0 568.074 0 364 132.180679 201.373611 234.104935 -394.808716 144.937195 -259.929047 -1
75005 -1 1.4356e+13 693.996 0 565.985 0 360 244.581833 23.017399 157.978485 -79.027092 -40.057629 29.688196 -1
75018 -1 8.8527e+12 577.319 0 481.750 0 222 251.943115 136.502075 258.044617 103.834923 133.201157 -129.692062 -1
75022 -1 9.8097e+12 600.572 0 498.520 0 246 228.036682 30.025181 186.500198 -182.392517 113.250397 405.435150 -1
75038 -1 1.1923e+13 654.772 0 532.020 0 299 256.799957 185.808441 172.842117 -127.141151 57.495068 -272.445587 -1
75058 -1 9.4907e+12 593.765 0 493.056 0 238 135.970795 209.193954 247.847046 -247.290863 44.526173 -658.936157 -1
75071 -1 1.0288e+13 624.084 0 506.498 0 258 101.979858 239.493423 37.455841 43.120552 -41.438229 16.886812 -1
75083 -1 1.1804e+13 689.253 0 530.235 0 296 258.046295 76.410759 60.733990 -224.690689 -40.262379 63.865093 -1
75084 -1 9.411e+12 579.171 0 491.671 0 236 192.877991 168.133362 2.573680 -254.280914 -37.706230 -34.720684 -1
75087 -1 1.3478e+13 673.216 0 554.213 0 338 119.054161 198.544022 231.603378 -394.987976 285.490509 -326.204620 -1
75100 -1 1.0767e+13 623.666 0 514.232 0 270 127.861031 80.643234 38.890408 160.840240 -92.469040 252.381973 -1
75104 -1 1.2521e+13 681.913 0 540.772 0 314 106.107040 132.929031 206.103210 -80.261559 -158.653992 -298.723450 -1
75106 -1 1.2083e+13 697.500 0 534.382 0 303 16.930243 253.844955 155.490845 -109.819870 -83.137581 234.721100 -1
